,best_params,train_accuracy,test_accuracy,f1_score,precision,recall,training_time,cv_score
Logistic Regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,0.9855,0.9855390799911179,0.9856479794849521,0.9855,4.799729108810425,0.9842391304347826
Support Vector Machine,"{'C': 1.0, 'loss': 'hinge'}",0.9980072463768116,0.9825,0.982557035488825,0.9827127502878745,0.9825,3.9280691146850586,0.984963768115942
Naive Bayes,{'alpha': 0.1},0.9858695652173913,0.9765,0.976563560042131,0.9767251119096989,0.9765,0.32134580612182617,0.9815217391304348
Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.967,0.9672073054890977,0.9679375039016505,0.967,7.118675947189331,0.9557971014492753
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",1.0,0.966,0.9661216812781569,0.9664897360787342,0.966,311.3752419948578,0.9639492753623188
